Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56269004,"Silent Parade (Detective Galileo, #4)",Keigo Higashino,"Higashino, Keigo",Giles Murray,"=""1250624819""","=""9781250624819""",0,Minotaur Books,Hardcover,344,2021,2018,,2026/07/27,,,read,,,,1,0
62790595,Người Bóng Bay,Chan Ho-Kei,"Ho-Kei, Chan",Nguyễn Tú Uyên,"=""6043747456""","=""9786043747454""",4.0,"NXB Hà Nội, Nhã Nam",Paperback,484,2022,2020,,2026/06/03,,,read,,,,1,0
13506866,"Salvation of a Saint (Detective Galileo, #2)",Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""0312600682""","=""9780312600686""",4.0,Minotaur Books,Hardcover,330,2012,2008,,2025/09/12,"social-psychology, detective","social-psychology (#8), detective (#6)",read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",3.0,Ballantine Books,Hardcover,342,2016,2016,,2026/04/26,,,read,,,,1,0
44287550,The Miracles of the Namiya General Store,Keigo Higashino,"Higashino, Keigo",Sam Bett,"=""1975382579""","=""9781975382575""",4.0,Yen On,Hardcover,320,2019,2012,,2025/09/12,social-psychology,social-psychology (#7),read,,,,0,0
55820280,Người Trong Lưới,Chan Ho-Kei,"Ho-Kei, Chan",Thu Hương,"=""6043028026""","=""9786043028027""",4.0,NXB Hồng Đức & IPM,Paperback,556,2020,2017,,2026/05/24,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",5.0,Tor Books,Hardcover,472,2014,2006,,2026/03/30,,,read,,,,1,0
7326853,"Summer, Fireworks, and My Corpse",Otsuichi,"Otsuichi, Otsuichi",Nathan Collins,"=""1421536447""","=""9781421536446""",0,Haikasoru,Paperback,350,2010,1996,,2026/02/22,,,read,,,,1,0
60129996,Sau giờ học,Keigo Higashino,"Higashino, Keigo",Thuỷ Hương,"=""6043396297""","=""9786043396294""",0,"NXB Hồng Đức, IPM",Paperback,320,2022,1985,,2026/02/22,,,read,,,,1,0
58483047,Nhà ảo thuật đen và vụ án mạng tại thị trấn không tên,Keigo Higashino,"Higashino, Keigo",Mai Khanh,"=""6045591925""","=""9786045591925""",0,"NXB Hà Nội, Nhã Nam",Paperback,566,2021,2020,,2026/02/15,,,read,,,,1,0
59950184,Khách sạn mặt nạ,Keigo Higashino,"Higashino, Keigo",Lam Ngọc,"=""6045598571""","=""9786045598573""",3.0,NXB Hà,Paperback,460,2021,2011,,2025/09/12,"social-psychology, detective","social-psychology (#9), detective (#7)",read,,,,1,0
19161835,Confessions,Kanae Minato,"Minato, Kanae",Stephen    Snyder,"=""0316200921""","=""9780316200929""",4.0,"Little, Brown Paperbacks",Paperback,234,2014,2008,,2025/09/28,,,read,,,,1,0
